2107,(15/12/2018),8,38,44,50,56,60,
2106,(12/12/2018),3,27,36,39,40,43,
2105,(08/12/2018),11,13,16,24,31,46,
2104,(06/12/2018),2,10,12,27,45,56,
2103,(04/12/2018),3,13,40,44,46,50,
2102,(01/12/2018),4,6,17,34,51,57,
2101,(28/11/2018),2,8,18,37,56,58,
2100,(24/11/2018),1,10,11,13,35,49,
2099,(21/11/2018),5,15,20,27,30,58,
2098,(17/11/2018),2,8,18,27,38,60,
2097,(14/11/2018),9,24,28,45,49,51,
2096,(10/11/2018),6,11,13,19,24,51,
2095,(07/11/2018),16,29,35,43,49,56,
2094,(03/11/2018),4,16,19,31,33,44,
2093,(31/10/2018),8,14,27,34,52,54,
2092,(27/10/2018),11,13,15,17,22,27,
2091,(25/10/2018),10,11,12,37,38,59,
2090,(23/10/2018),8,11,18,37,40,51,
2089,(20/10/2018),5,10,32,38,48,49,
2088,(17/10/2018),3,14,24,27,38,56,
2087,(13/10/2018),2,18,19,23,34,53,
2086,(10/10/2018),4,35,43,46,47,53,
2085,(06/10/2018),12,21,25,37,38,49,
2084,(03/10/2018),7,20,26,37,38,39,
2083,(29/09/2018),1,18,19,33,56,60,
2082,(26/09/2018),6,25,33,42,48,49,
2081,(22/09/2018),13,18,35,40,41,42,
2080,(20/09/2018),10,22,40,46,55,58,
2079,(18/09/2018),1,2,14,37,55,58,
2078,(15/09/2018),2,11,15,30,36,39,
2077,(12/09/2018),13,16,26,35,37,39,
2076,(08/09/2018),5,6,12,15,22,43,
2075,(05/09/2018),7,9,23,33,57,59,
2074,(01/09/2018),8,18,23,37,42,58,
2073,(29/08/2018),12,15,18,30,52,55,
2072,(25/08/2018),10,12,13,20,22,54,
2071,(22/08/2018),24,33,34,35,46,60,
2070,(18/08/2018),5,26,27,34,42,48,
2069,(16/08/2018),3,17,34,35,40,48,
2068,(14/08/2018),3,5,9,40,42,47,
2067,(11/08/2018),2,11,13,26,32,59,
2066,(08/08/2018),6,25,27,35,45,55,
2065,(04/08/2018),4,11,20,30,37,43,
2064,(01/08/2018),10,14,36,53,55,60,
2063,(28/07/2018),6,10,19,24,25,29,
2062,(25/07/2018),8,10,15,23,25,34,
2061,(21/07/2018),33,36,40,44,45,54,
2060,(18/07/2018),8,9,11,25,39,41,
2059,(14/07/2018),4,5,36,40,44,56,
2058,(11/07/2018),4,19,23,29,56,59,
2057,(07/07/2018),10,13,20,37,38,54,
2056,(05/07/2018),18,22,29,34,36,47,
2055,(03/07/2018),6,25,35,43,46,53,
2054,(30/06/2018),4,7,12,22,26,39,
2053,(27/06/2018),12,22,27,37,40,55,
2052,(23/06/2018),50,51,56,57,58,59,
2051,(20/06/2018),1,5,6,37,44,53,
2050,(16/06/2018),8,31,32,33,38,50,
2049,(13/06/2018),10,19,27,31,51,53,
2048,(09/06/2018),10,19,26,35,38,39,
2047,(06/06/2018),1,18,19,29,44,54,
2046,(02/06/2018),3,6,11,27,28,46,
2045,(30/05/2018),15,25,27,45,46,50,
2044,(26/05/2018),7,14,47,54,56,60,
2043,(23/05/2018),21,38,53,56,57,58,
2042,(19/05/2018),14,22,29,32,33,35,
2041,(16/05/2018),10,12,22,25,42,54,
2040,(12/05/2018),6,9,41,54,56,58,
2039,(10/05/2018),6,12,22,28,31,44,
2038,(08/05/2018),6,25,26,35,38,40,
2037,(05/05/2018),14,16,23,30,45,60,
2036,(02/05/2018),7,8,19,23,27,58,
2035,(28/04/2018),30,35,36,38,49,52,
2034,(25/04/2018),6,7,13,17,22,56,
2033,(20/04/2018),10,18,33,38,40,43,
2032,(17/04/2018),6,14,19,20,39,53,
2031,(14/04/2018),18,23,37,39,50,55,
2030,(11/04/2018),4,27,38,40,58,59,
2029,(07/04/2018),6,15,18,33,37,40,
2028,(04/04/2018),7,11,24,36,42,58,
2027,(31/03/2018),11,15,29,37,39,44,
2026,(28/03/2018),10,23,31,33,51,52,
2025,(24/03/2018),4,24,46,52,55,56,
2024,(21/03/2018),16,20,23,29,35,47,
2023,(17/03/2018),1,6,7,8,23,56,
2022,(14/03/2018),4,28,45,48,52,60,
2021,(10/03/2018),7,14,32,37,40,60,
2020,(07/03/2018),2,36,46,48,57,60,
2019,(03/03/2018),23,41,46,52,54,59,
2018,(28/02/2018),11,22,25,27,55,59,
2017,(24/02/2018),2,10,11,24,38,56,
2016,(21/02/2018),4,11,17,18,21,48,
2015,(17/02/2018),17,18,27,32,39,58,
2014,(14/02/2018),16,32,40,46,53,56,
2013,(10/02/2018),6,23,30,36,53,56,
2012,(08/02/2018),8,11,27,35,36,51,
2011,(06/02/2018),2,28,32,35,54,58,
2010,(03/02/2018),8,10,18,34,39,56,
2009,(31/01/2018),1,37,44,46,48,50,
2008,(27/01/2018),22,27,33,42,58,59,
2007,(24/01/2018),4,14,39,41,54,58,
2006,(20/01/2018),1,9,14,20,25,54,
2005,(17/01/2018),11,19,22,33,34,53,
2004,(13/01/2018),1,5,14,23,35,45,
2003,(10/01/2018),28,34,40,43,50,51,
2002,(06/01/2018),4,28,30,38,46,59,
2001,(03/01/2018),20,22,36,42,52,60,
2000,(31/12/2017),3,6,10,17,34,37,
1999,(21/12/2017),15,37,38,42,49,50,
1998,(19/12/2017),8,21,24,25,52,57,
1997,(16/12/2017),1,7,14,31,35,46,
1996,(13/12/2017),7,20,21,24,40,56,
1995,(09/12/2017),14,26,29,35,37,39,
1994,(06/12/2017),2,5,12,32,40,44,
1993,(02/12/2017),6,17,33,48,50,57,
1992,(29/11/2017),5,11,13,21,53,54,
1991,(25/11/2017),19,20,28,34,36,44,
1990,(22/11/2017),11,24,26,34,37,59,
1989,(18/11/2017),15,22,30,32,40,58,
1988,(16/11/2017),5,10,39,42,46,54,
1987,(11/11/2017),10,14,31,34,45,58,
1986,(09/11/2017),23,36,43,44,55,56,
1985,(07/11/2017),9,28,29,34,36,55,
1984,(04/11/2017),21,29,32,35,43,50,
1983,(01/11/2017),5,6,10,14,22,36,
1982,(28/10/2017),4,14,20,24,46,50,
1981,(25/10/2017),6,15,19,37,39,53,
1980,(21/10/2017),12,16,17,18,34,37,
